,chi_sq_dof,chi_sq_rel_like
9b44eb,126.10354967625435,9.653410874692362e-55
51c184,192.97952925222083,8.72593331246227e-84
c41aea,15.120255594958515,1.5279635503916563e-06
7548f6,34.70097111545844,4.789788004214314e-15
7baa7f,41.65273570918959,4.583563891143711e-18
7941c5,40.22151183996092,1.9176790255372265e-17
33caaf,6.691164377964566,0.006995532800750041
5af309,11.133687600705523,8.23109237927454e-05
b56af2,10.933001265578879,0.00010060381358872075
89a3bb,189.2073274487506,3.793659231572261e-82
16a603,65.08088944615163,3.06538762836884e-28
626eb4,140.470571905301,5.561120631235985e-61
d92c7f,48.73274189152843,3.858297154068208e-21
c4eefe,25.202557623915336,6.388881871020338e-11
960bef,88.31244848288152,2.495442139915474e-38
2be3f3,76.01394841710795,5.474169226264412e-33
4cf8b3,7.712928754533634,0.002518106921144544
7be734,196.82925193464052,1.8573706207928325e-85
7df4ee,95.99001100933086,1.1556450540398137e-41
56a434,228.7965895606929,2.430301973874751e-99
75f9f5,193.67959202642785,4.332898242044096e-84
0683a0,176.96875030635573,7.837992376817208e-77
01e8c4,15.33024449423964,1.238556931160143e-06
8b1b4c,31.03681558897352,1.8691270299185651e-13
6f7b0a,57.76697720408086,4.601263748820176e-25
477ce4,223.45431865596146,5.079009374015176e-97
9ee9a4,90.06359578398238,4.331455877121335e-39
099963,8.530402664791433,0.0011118591089192768
c16ad4,89.80942473072119,5.584946029745928e-39
a6c93b,144.08828975884967,1.4928198971690066e-62
70c8a0,23.42378003636194,3.7838869183149123e-10
d5ce27,142.83515886137775,5.2267923747240195e-62
e856fc,43.827293348442026,5.209606324755901e-19
94097d,109.78068855380599,1.1847025020107432e-47
9cda9b,70.70912089746913,1.1019846322982166e-30
0b4046,221.72348990136962,2.8672686853401953e-96
23a3cc,171.95105065704684,1.1840338167650017e-74
c34157,173.70603793351333,2.047306269173915e-75
7f765b,110.81767662110393,4.200017599377796e-48
a9399d,166.60371862089175,2.487029304136987e-72
f04e6c,98.44984263477548,9.874910396430322e-43
d94a82,7.622754697790871,0.0027557274479390013
39b6f9,100.81369539252856,9.28805877290554e-44
d9d67e,24.13231979110823,1.863044563886266e-10
8fa1b4,192.0099206621325,2.300951951752307e-83
e068d2,9470391.558873624,0.0
757c11,4.276131544462034,0.07828097576554192
5faa13,153.76131197494772,9.398688221670116e-67
ea5135,14.778013394151618,2.151527460876618e-06
a7451c,179.45103297963007,6.548821743020112e-78
ec7590,55.21275758577622,5.917804502697958e-24
b6576d,193.86922802113943,3.5844342933045678e-84
ef85c1,12.571467905263388,1.954507869720759e-05
e4b4d8,33.9457268001577,1.0193298226723064e-14
ee5be3,15.959555390581723,6.600999872391368e-07
2ef100,21.947191483037557,1.6565799846244039e-09
bef0ef,182.48483239406954,3.1521060774995444e-79
854b44,125.74278978443414,1.384703601005824e-54
bfaabf,37.7533934161331,2.2629040013185273e-16
6b8717,22.007793712234264,1.559169016663887e-09
acb765,89.82342438618522,5.507303462236875e-39
4667c2,141.08653400353245,3.0036780130926115e-61
96cb66,31.642212351495967,1.0202775829552299e-13
e087e1,9.433042038615673,0.00045085662862622385
e444db,33.183939709908415,2.1835073607286215e-14
d534d3,113.13562417314715,4.13598808566235e-49
7e2966,14.105563941890587,4.214906839490224e-06
a5bc2a,168.8309167786013,2.6817669392387466e-73
1b21ad,8.504800359761358,0.0011406927944117987
033b8d,18.6007646583876,4.704864429851841e-08
cd83f7,8.971106471623711,0.0007155739581470782
d0b10d,153.7192339766422,9.802604610611546e-67
6b65ce,99.64908767432202,2.9765121554821992e-43
7782be,40.255238030314715,1.85408149702854e-17
0f207c,32.37952111904757,4.8810045830775635e-14
847b26,66.03917565437703,1.1757283436034805e-28
549878,25.82007008218451,3.4454234485012256e-11
2840f1,166.97399206990937,1.7174068342420195e-72
a5e985,185.47339169347674,1.5873986687602477e-80
d59b3f,22.027528389497856,1.528700946910748e-09
809136,68.38772979957037,1.1229046551700598e-29
28cdb6,101.99720660295759,2.8440194810052837e-44
45ae33,7.506718539089474,0.0030947824500511954
2778c9,193.67940101582963,4.3337259505774085e-84
daeba8,18.044296418451818,8.207638117836062e-08
13d373,177.236721133272,5.995516262399075e-77
6a524f,8.870544873553055,0.0007912757824713993
696a11,30.447047954989102,3.3711000887677627e-13
d72c5e,15.049214186296354,1.6404609093968167e-06
11259b,26.6054049544006,1.570999343728621e-11
249aa0,74.92808039514405,1.6214542855303386e-32
8049f3,31.30695265901173,1.4266576815248852e-13
908bc3,33.227990699626794,2.0894094689041568e-14
e4ebc3,30.608216089998194,2.869308304739647e-13
448b77,6.615808129458291,0.007543060658414957
1ab5b0,45.36003016982609,1.1249824888393464e-19
5f88ed,126.6740043891433,5.4567675930840964e-55
131f59,56.10989377545258,2.4128999657533293e-24
8310e3,129.35190189596224,3.749206376691448e-56
507261,16.630991254543797,3.372941692577308e-07
9bb8da,162.95713867609567,9.53609239624789e-71
00b058,219.53715871751035,2.552583516270792e-95
cb8695,109.49544446020384,1.5757569870541558e-47
6b7fcd,19.878780420407082,1.3107260188331992e-08
6a8dfb,12.261940470052398,2.663566110332033e-05
533f89,46.30584060003003,4.369034877341533e-20
707c8e,144.4235676077291,1.067574262985042e-62
c852c2,4.404134743120017,0.06887556074033749
744ce0,8.485283172099965,0.0011631745867810002
2683d8,92.3889966372605,4.233749281743541e-40
cfdef5,90.69957026367071,2.2931564618174222e-39
1e8040,15.258827451720762,1.3302461219910081e-06
310aa7,5.570481879387362,0.02145492606940731
9fe503,17.070057880006114,2.174325809728328e-07
675733,193.68076176283543,4.327832856380644e-84
af5526,8.505897252537565,0.001139442262700721
fd9371,97.2448233401387,3.295083267860597e-42
288c6c,192.21366651602403,1.8768166596073948e-83
6d5b3a,75.20482683680733,1.2294624139312642e-32
296885,164.55800871281355,1.92362949351658e-71
c415c2,266.1419938454463,1.468105393962023e-115
47723c,41.24658673650028,6.880049250282132e-18
5ef749,28.86486872124282,1.6402247377877207e-12
af0b82,45.49019036899102,9.876837445298571e-20
f0a2f7,41.35936693613154,6.146271333766606e-18
767eaf,16.698436068570643,3.152956094222862e-07
05a55e,53.725523486633335,2.61853375396728e-23
5af5c0,18.15927951737875,7.316134389155239e-08
157f5c,210.92424083590836,1.4045029943774684e-91
478908,55.85175353818468,3.1235480982699105e-24
150af6,93.02636666762639,2.2383028560061897e-40
8f5237,34.71634608233767,4.7167084100598315e-15
6c879a,114.98042366595087,6.537219072393657e-50
1187e8,15.359162312674508,1.2032534762989656e-06
c8a895,73.6582378005204,5.772850898085708e-32
37fbfe,164.43531887773528,2.174727996936328e-71
5d8a2d,113.08609345796216,4.3460047367521424e-49
8c3f6c,245.17600683138312,1.8714132591487214e-106
b35fc0,59.032365803905364,1.2981528818122435e-25
05009e,8.90032848664501,0.0007680562282367381
4221f8,27.362380880169642,7.369288111221487e-12
496740,81.44363492735995,2.400133115074025e-35
2c5fd3,191.19195731172422,5.213681769408209e-83
cdac57,72.15182115681979,2.603866872985529e-31
56bec8,102.70084389637535,1.4071706657016644e-44
