,tA1,tA2,tA3,tA4,tA5,rA1,rA2,rA3,rA4,ssrd_extension,tB1,tB2,tB3,tB4,rB1,rB2,rB3,wpf_extension,net_extension,moho_T,heat_prod
549e03,37.07352165773108,35.485636411860646,13.743296857634974,8.436829282612624,0.0,4.5618450449955255,0.3464213583185105,2.6983886022895933,0.0,28.23037463952893,16.822089893579452,16.767786294257387,2.404057431379312,0.0,2.03823217972629,0.07425348138365706,0.6663115617134312,1.7489389362545162,29.979313575783447,894.7483946558365,13.812081663150947
882978,20.750273856631843,18.351421993378764,16.829403043016118,15.564429700809267,0.0,3.665391603614863,2.0376977592986654,4.414297364155454,0.0,16.958939873426125,39.75532499729716,31.34801089686985,9.343965147397654,0.0,0.13904295071423922,0.1146950737752217,0.12968366200239112,3.086497470679357,20.045437344105483,1012.9702090207561,31.826194581066453
aa38c5,47.16522965218512,32.501078742881454,11.689944702402652,11.279108915989212,0.0,0.6761513100769123,0.8828245689331604,7.278155967907506,0.0,30.34880514556352,5.47631568060766,4.347923117248791,4.27954393200388,0.0,1.171598203133022,2.05414788769098,0.4636667084527857,2.169119942727447,32.517925088290966,721.8399700537295,16.171518484759837
537383,48.698591286205385,33.28778632738519,13.55909752277871,12.874483446340337,0.0,0.3574482900318865,0.9616130340510988,9.954844544237211,0.0,30.365556977229232,37.97619133830111,20.51686056943464,1.1057665041791864,0.0,0.0455835889756866,0.08971763527297005,1.3995297142913512,2.570729427091964,32.936286404321194,738.6246710802969,8.208765623686531
0b4238,74.52653639671631,74.48066092834928,24.601576075259104,13.363927085733756,0.0,8.494210252501729,0.05084141558088007,1.6941084597108835,0.0,21.310988667811564,7.31047651090948,3.9019971093165218,1.205045286776385,0.0,0.4708571665472845,1.1628754728879152,0.26517296082425235,3.1847837710570186,24.495772438868585,749.2106985189989,43.950760443574254
bc74b3,41.1069123505205,40.58287263495298,15.919415969753732,12.62370862994427,0.0,1.1667784081709809,0.1314039064825656,5.1704120049388935,0.0,20.27188170023888,33.45664883344186,27.40606490333655,0.1379825081922803,0.0,0.3664178763394257,0.12685031770387045,1.7441291089356197,3.7234787737581296,23.99536047399701,789.8321205121298,40.335764370436245
1db8d0,42.37579575139239,19.41133851550199,19.190318557251565,10.785092206429304,0.0,0.8324667667769625,1.3662274042135858,1.1404662815668245,0.0,28.14341612203907,8.7692391224686,7.265131226402218,5.783780326334792,0.0,0.4690023677644448,2.980742454329764,0.20679884242136826,3.975438784510009,32.118854906549075,931.3799670694116,11.219073222619262
7736f2,26.704968653187407,26.15856276254198,20.385113768395648,16.332690131646327,0.0,3.1575917051691285,0.7439037513645652,3.2461323205439205,0.0,18.6053433321064,10.39372476315975,9.130519941294693,0.3826318036898924,0.0,3.204971508466384,0.21437701604512727,0.3264514946724595,3.8066283628616255,22.411971694968027,870.2480916516577,33.99463137602952
edb057,41.33321494326272,32.66855784392972,32.47960787705772,7.722127054327598,0.0,0.02571688107476433,4.442861494771946,1.1203638858488951,0.0,27.944219915839092,3.3173862896281525,3.0146949338983036,1.2119875317363515,0.0,1.5770616417983327,1.4546991452200015,0.7249106991305765,2.5036521033934758,30.44787201923256,632.638312080549,14.476261545652655
d0cda6,42.83489510836645,42.47667310486775,10.098141846860333,9.79360566379992,0.0,9.935114154880006,0.5929367515519113,4.6292702339110825,0.0,23.449309460742608,11.420533557384488,0.6121982447773977,0.4953005018139223,0.0,0.4242123814496943,0.0749869170991464,0.2179083153671124,2.9588917691479772,26.40820122989058,908.6610918968672,47.84037864369381
4dcc5f,64.25568465668788,56.03633734077209,20.21073744802981,11.241992737136364,0.0,0.5878595495606265,0.12243561678443983,1.886346105465028,0.0,25.35994784306076,11.235314372828407,9.649666241906338,5.636874265837406,0.0,0.7196267175581781,0.2036487873802764,0.1409053610331532,1.732230042013554,27.092177885074314,688.5606162197142,49.758092642234715
a2af41,33.54911804673207,19.570411154795877,17.881964658216702,13.465803941476985,0.0,0.24491418143929744,5.458871995293629,2.916780400161696,0.0,24.76346823629272,8.943185174063524,8.374017471883594,6.963604337316629,0.0,0.8578268596053231,2.1550308210641105,0.26159276859552705,3.36646111056612,28.12992934685884,715.2705380691916,21.77601638889524
40dc23,51.98630525427097,14.934982919944467,14.049625869519973,8.013526575260025,0.0,0.4827858403668284,0.9031059374332028,2.3727685515861316,0.0,32.029162664344184,32.12337626597902,9.00783297242127,7.335141913752513,0.0,0.08408659001996144,0.6012983205942044,0.17606109675389447,2.6689016282668745,34.69806429261106,796.698460271874,13.6153847066189
d5f64e,22.064785286484774,21.78676063010132,21.200863040936373,9.315814464175505,0.0,9.70499571542582,8.846050231787544,1.5525387016187464,0.0,25.5508997159986,28.443409406029293,4.066424281142607,3.0152903007889487,0.0,0.03840123583731137,1.4501966866616767,0.6548030438384624,2.7909595583112523,28.34185927430985,807.5608019680179,14.916115022207133
e9f25c,37.03113639193077,34.26011167376309,33.584557152734384,6.252653598926307,0.0,0.3479850122047501,6.288196469160897,0.6358059372643143,0.0,21.91905922564409,31.83182704655369,25.555389665202927,24.10354967360361,0.0,0.5194671024926723,0.041744775359196414,0.07384616930477161,3.2101408384520957,25.129200064096192,999.9980522389385,38.81947625512949
